"","logFC","logCPM","PValue","FDR"
"YDR399W",-1.47214135032336,7.07010636451934,6.51320267401837e-79,2.69500840714452e-77
"YGR204W",-0.536095068505125,9.80846481028569,4.78695520559869e-78,1.9669731910783e-76
"YKL065C",1.05915482297129,8.09584586890715,6.41029695806864e-78,2.61584324833739e-76
"YEL044W",1.40149911348091,7.436611710222,1.78775630807253e-77,7.24531101018163e-76
"YDR224C",0.620619029393423,9.50002272034873,4.84016580456782e-77,1.94824905208352e-75
"YOR375C",0.559953089599015,9.8453880901687,4.29449339918568e-76,1.71692685425552e-74
"YOR230W",-0.812648017171807,8.76318728330986,1.41960399955474e-75,5.6374475606479e-74
"YHR216W",-1.04329191756976,8.08292409271329,1.62042233401626e-75,6.39202596691613e-74
"YGL147C",-0.428279857559627,10.4894567119888,4.55186350949819e-75,1.78366731031131e-73
"YJR009C",0.197674946163504,13.2824010100941,5.49531228252092e-75,2.13919491945239e-73
"YLR348C",0.990673833820885,8.19127415499176,5.86169757060317e-75,2.2669061781215e-73
"YHL050C",2.24177103921836,7.1647443993218,1.33381522487598e-74,5.12479525038387e-73
"YPL163C",-1.32546094025581,7.11468653926677,3.76186768756244e-74,1.43606265208432e-72
"YKR057W",-0.534996538437402,9.83364001518572,5.22474081882606e-73,1.98171739903806e-71
"YLR332W",1.00238741556403,8.14580933969081,1.34258789850389e-72,5.05993158945701e-71
"YGR086C",0.479520748816422,10.1173177311048,1.03127103604972e-71,3.86204475968747e-70
"YDR044W",-1.15560657083137,7.48556102222556,1.19818020899868e-71,4.45888823688378e-70
"YMR189W",-1.71013543543504,6.36946169433484,1.33716059281995e-71,4.94498701732229e-70
"YMR056C",2.38382763701887,6.21221583539973,4.33761456266172e-71,1.59414070604158e-69
"YPL231W",-0.403651793441382,10.8372109195544,3.04980166495282e-70,1.11393064515592e-68
"YIL117C",1.37979802808887,7.5764857641845,4.50500541547688e-69,1.63534460388814e-67
"YBR048W",-0.496222405524898,9.91399395255315,6.72179260615858e-69,2.42517358845368e-67
"YDR516C",-0.561624267656192,10.0388489079145,7.42814052476746e-69,2.6637762112151e-67
"YDR452W",0.973341821727534,8.21144688638806,2.15400747207833e-68,7.67786880258281e-67
"YGL062W",0.993504602493918,8.25716623993326,2.88900566264791e-68,1.02360757520286e-66
"YGR027C",0.484723589412565,10.3592421302239,3.41034021212479e-68,1.201129942568e-66
"YNL134C",-1.17263601019833,7.32333786876314,6.45258974123938e-68,2.2591700295215e-66
"YBL085W",1.15971025210496,7.72413237082331,1.22746135113773e-66,4.2722875380482e-65
"YER053C",-1.16814218197504,7.31173604252624,2.43639113559699e-66,8.43048324522071e-65
"YLR155C",0.979011514008352,8.04581114052806,3.60553929801647e-66,1.2249191510491e-64
"YLR157C",0.979011504484811,8.04581114052806,3.61373481296007e-66,1.2249191510491e-64
"YLR158C",0.97901149663002,8.04581114052806,3.62050805416033e-66,1.2249191510491e-64
"YLR160C",0.979011493979761,8.04581114052806,3.62279620472524e-66,1.2249191510491e-64
"YNL217W",-1.36559429837657,7.12837410736787,1.54337479032137e-65,5.1887208149611e-64
"YHR026W",0.862187534387453,8.33401749250069,1.51828206627976e-64,5.07552259106063e-63
"YOR227W",1.10974527843343,7.71754124954726,2.10445571747935e-63,6.97125103177639e-62
"YHR094C",0.94876629473557,8.1510797395509,2.10893009073513e-63,6.97125103177639e-62
"YKL141W",1.31640873410147,7.29131759732516,3.99347333969022e-63,1.31274343060817e-61
"YDR111C",1.64844416381651,6.93078480299165,4.8159581595571e-63,1.57436599061322e-61
"YEL034W",-0.445553011031843,10.0202423558221,8.03833990012435e-63,2.61334380159537e-61
"YBR230C",1.12224807686,7.74935225108506,1.03576598320577e-61,3.34897667903198e-60
"YGR282C",0.51870068635535,10.2985231965095,1.78175304661319e-61,5.72969172652731e-60
"YGL035C",1.09443400176845,8.02995859471599,8.07070588607231e-61,2.58131712042648e-59
"YDR216W",1.63645479566609,6.94996739888997,1.78483995994002e-60,5.67790217363714e-59
"YHL020C",1.12818566725701,7.61066291803615,2.23979130416409e-60,7.08708296617054e-59
"YAL053W",0.710083008993557,9.07014455996961,7.94316863732294e-60,2.49998557590637e-58
"YLR109W",0.32057981730185,11.7639504467777,7.36233935659408e-58,2.30491862290832e-56
"YMR116C",-0.281800484817423,11.3969842873104,2.06505542789374e-57,6.43101735097224e-56
"YLR249W",-0.252399109536945,11.5979830159494,8.09180653223858e-57,2.50676540582491e-55
"YER150W",-1.57486046322374,6.71185990415298,3.10990256794676e-56,9.58400702840675e-55
"YDR074W",-0.559064581094476,9.28251652194709,3.68027463814968e-55,1.12829974269076e-53
"YKL117W",0.501911480129554,9.55211200032224,1.70454812908253e-53,5.19887179370173e-52
"YLR438W",-1.94906109438804,6.10850397887518,2.38377763135815e-53,7.23323704858777e-52
"YDR277C",-1.21296734918028,7.03763425842711,5.92711370165093e-53,1.78932304962595e-51
"YGR244C",0.734270376137448,8.47475905189493,9.99803674611488e-53,3.00296362572395e-51
"YDL137W",0.713767618630388,8.65972006508243,1.79315484623993e-52,5.35863496222308e-51
"YER138C",-2.61669967963525,9.68219972923305,2.30968244677573e-52,6.86753318470953e-51
"YMR251W-A",-0.798556418241441,8.27311382975911,2.6282089064403e-52,7.77555604970364e-51
"YHR143W",-0.691502786202208,8.69606732322404,1.22951104040792e-51,3.61941135626551e-50
"YLR264W",-1.42932201845036,6.86352696572796,1.27912488744325e-51,3.74682275198104e-50
"YDR011W",-0.913250778608641,7.67600331756042,1.82995308587257e-51,5.3339075906936e-50
"YBR298C",1.02711581385433,7.60284474531553,5.62318977523303e-51,1.63100068137519e-49
"YJL077C",2.16366055990895,5.84203925667829,2.6072604290123e-50,7.52544388217844e-49
"YLR192C",0.692941857182495,8.5651176126434,3.55807941682826e-50,1.02199785967829e-48
"YPL232W",0.918935137378135,8.20933468219545,5.02478018131165e-50,1.43631035424256e-48
"YDR343C",-1.60389297922729,8.90337206265829,5.11675936889263e-50,1.45557044162201e-48
"YGR159C",-0.690244749336419,8.82102952506412,5.59663816947892e-50,1.58446449994291e-48
"YBR218C",-0.657936716647479,8.73847354159976,1.50753279981655e-49,4.2476531316736e-48
"YKL109W",-1.20402760404225,7.05674224023501,2.28741062375669e-49,6.41450647429779e-48
"YDR233C",0.673629181463704,8.62482915569771,4.08730824381964e-49,1.14078315465476e-47
"YNL327W",-0.778427164990067,8.16860229150653,9.24640627710821e-48,2.56859088927931e-46
"YDL055C",-0.331142608940265,10.496917355373,1.27458806933056e-47,3.52417645150885e-46
"YLR256W",-0.691212115052024,8.99478651573618,1.85349951718083e-47,5.10100308984139e-46
"YPL134C",1.58941396785338,6.52152411211137,2.01933029873803e-47,5.53165619334858e-46
"YBR031W",-0.40572539886773,11.3357262276583,4.49681847860096e-47,1.22616013538626e-45
"YOR382W",-0.485881510622456,9.38258770253261,6.80224901281866e-47,1.84628015636917e-45
"YOR127W",1.15266783235371,7.15340361054201,2.42286976179755e-46,6.54617368975165e-45
"YML001W",1.09448308698706,7.27824180756375,2.66776040808186e-46,7.17506287937289e-45
"YOR261C",0.906115824781349,7.82357427289043,3.10610595028708e-46,8.31621217549713e-45
"YNR050C",-0.931127232142949,7.4086028710515,4.27033174749053e-46,1.13817806080637e-44
"YLR250W",1.08329934581685,7.32718865952279,5.65639773504664e-46,1.50084777570722e-44
"YLR079W",1.31769470607548,7.07128374902369,9.55958643632973e-46,2.52518182784656e-44
"YJR010W",1.60315426448299,6.69510767203825,1.73285005235109e-45,4.55701055989396e-44
"YER073W",-0.820046209165709,8.71836850757291,2.00333016585908e-45,5.24500203158769e-44
"YKR058W",-0.966802714329747,7.27842297796504,2.62446054111611e-45,6.84093965717358e-44
"YGL030W",-0.273468356131853,11.0062669453136,2.74814358954603e-45,7.13191474532626e-44
"YGR138C",-1.75367534247702,6.32698522446245,3.18825058005112e-45,8.23793828915391e-44
"YDR309C",1.46169969667391,6.76602961556291,4.3366684013337e-45,1.11565508394311e-43
"YNL079C",0.561187992617366,9.01814488169029,7.00164722469795e-45,1.79345223500164e-43
"YER133W",0.918259858251573,7.79801125561337,8.78114270517604e-45,2.23956988735029e-43
"YPR008W",1.02158356369774,7.58785441055276,1.0890860665614e-44,2.76571770637072e-43
"YKL029C",-1.00557490817112,7.4406262433452,1.09849833346594e-44,2.77769856372563e-43
